,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
0,0.2111553784860547,0.5674814027630184,0.7843137254901961,0.022330739101683705,0.01971131460499767,0.008940833543541018,0.02039473684210526,0.5396684183666434,452600.0,0,0,0,1,0
1,0.21215139442231035,0.5653560042507966,0.39215686274509803,0.180502568798006,0.171348750582027,0.06721040387903249,0.1868421052631579,0.5380270616957008,358500.0,0,0,0,1,0
2,0.21015936254980083,0.5642933049946866,0.9999999999999999,0.03726028790884582,0.029178953903461122,0.013817651840017937,0.028782894736842105,0.4660280547854513,352100.0,0,0,0,1,0
3,0.2091633466135452,0.5642933049946866,0.9999999999999999,0.03235159468945521,0.03616327797609809,0.015555368704279829,0.03569078947368421,0.35469855588198784,341300.0,0,0,0,1,0
4,0.2091633466135452,0.5642933049946866,0.9999999999999999,0.04132967088865151,0.043147602048735065,0.015751562543793268,0.04226973684210526,0.2307761272258314,342200.0,0,0,0,1,0
5,0.2091633466135452,0.5642933049946866,0.9999999999999999,0.02332265120301134,0.03274871954058669,0.01149135345721573,0.03141447368421053,0.24392077350657237,269700.0,0,0,0,1,0
6,0.2091633466135452,0.5632306057385765,0.9999999999999999,0.06442341929904878,0.07558590718609344,0.030578211272737466,0.08421052631578947,0.21787285692611136,299200.0,0,0,0,1,0
7,0.2091633466135452,0.5632306057385765,0.9999999999999999,0.07889516252098276,0.10631693310569611,0.03234395582835842,0.10608552631578946,0.18069405939228428,241400.0,0,0,0,1,0
8,0.20816733067728954,0.5632306057385765,0.8039215686274509,0.0649320921715245,0.1029023746701847,0.03371731270495249,0.0975328947368421,0.10899849657246109,226700.0,0,0,0,1,0
9,0.2091633466135452,0.5632306057385765,0.9999999999999999,0.09021313393356732,0.1094210771379792,0.043386866223829146,0.11710526315789474,0.22008661949490355,261100.0,0,0,0,1,0
